Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
34.70742,1,Right,1.206713,2.579372,-0.1569801,-0.4796083,0.5078824,0.3520795,0.6229538
34.71849,1,Right,1.206772,2.579359,-0.1569173,-0.4795489,0.5077801,0.3520381,0.6231062
34.72988,1,Right,1.207147,2.579264,-0.1565198,-0.4790798,0.5075654,0.3504966,0.6245095
34.74078,1,Right,1.207393,2.579358,-0.156146,-0.4789993,0.5065807,0.3495321,0.6259097
34.75195,1,Right,1.207156,2.579556,-0.1559748,-0.4806309,0.5050862,0.3488638,0.6262394
34.76303,1,Right,1.206723,2.578771,-0.1554767,-0.4824164,0.5029321,0.348476,0.6268159
34.77407,1,Right,1.205044,2.57782,-0.1555865,-0.4861123,0.4951635,0.3492104,0.6297302
34.78505,1,Right,1.206641,2.579024,-0.1532686,-0.4885078,0.4897125,0.3506093,0.6313596
34.79636,1,Right,1.207697,2.579054,-0.1524248,-0.4803591,0.4951756,0.3547112,0.6310596
34.80727,1,Right,1.207393,2.578715,-0.1531366,-0.478953,0.4952653,0.3567272,0.6309215
34.81848,1,Right,1.208361,2.580236,-0.1533741,-0.480428,0.497637,0.3535095,0.6297439
34.82995,1,Right,1.207319,2.580606,-0.1539538,-0.4832314,0.496646,0.3531269,0.6285949
34.8409,1,Right,1.20839,2.580801,-0.1529488,-0.4838717,0.4971843,0.3525478,0.6280016
34.85223,1,Right,1.207971,2.58082,-0.1529141,-0.4848238,0.4967384,0.3536151,0.6270193
34.861,1,Right,1.208955,2.580987,-0.1524608,-0.4829982,0.4980421,0.3580234,0.6248888
34.87213,1,Right,1.208985,2.581354,-0.152749,-0.4800951,0.4997653,0.3607471,0.6241833
34.88329,1,Right,1.209126,2.581721,-0.1531551,-0.4789372,0.5005792,0.3625091,0.6233993
34.89486,1,Right,1.209474,2.582285,-0.1536949,-0.4781822,0.5013534,0.363432,0.6228192
34.90554,1,Right,1.210884,2.583339,-0.1529544,-0.4812141,0.4996514,0.3583213,0.6248097
34.91681,1,Right,1.210988,2.583909,-0.1533093,-0.4813116,0.499486,0.3581702,0.6249535
34.92821,1,Right,1.211643,2.584069,-0.1536027,-0.4827743,0.5000994,0.3558899,0.6246374
34.93894,1,Right,1.213273,2.584105,-0.1547988,-0.4837941,0.5000169,0.3538538,0.6250711
34.95008,1,Right,1.213494,2.584397,-0.1556608,-0.484102,0.500071,0.353231,0.6251417
34.96101,1,Right,1.213881,2.584711,-0.156749,-0.483783,0.5002573,0.3536153,0.6250223
34.97205,1,Right,1.213803,2.585075,-0.1585628,-0.484774,0.5017159,0.3525028,0.6237124
34.98337,1,Right,1.213809,2.585399,-0.1602404,-0.4861682,0.5034289,0.3513539,0.6218924
34.99481,1,Right,1.214383,2.58552,-0.1623146,-0.4876445,0.5068123,0.3518725,0.617681
35.00577,1,Right,1.214708,2.585505,-0.163745,-0.4872005,0.5098805,0.3533875,0.6146339
35.01682,1,Right,1.215206,2.585694,-0.1655621,-0.4869661,0.5117344,0.3539447,0.612956
35.02762,1,Right,1.216168,2.58603,-0.168384,-0.4857845,0.5146201,0.3541513,0.6113562
35.03947,1,Right,1.218321,2.586894,-0.1708678,-0.4859052,0.5179874,0.3529572,0.6091029
35.05017,1,Right,1.219047,2.587409,-0.1752375,-0.4873744,0.5238615,0.3500006,0.6045948
35.06136,1,Right,1.219916,2.587727,-0.1790219,-0.4885359,0.5282274,0.3485233,0.6006996
35.07251,1,Right,1.220356,2.587925,-0.183367,-0.4917364,0.5344158,0.3470683,0.5934128
35.08326,1,Right,1.22132,2.588175,-0.1873161,-0.4938661,0.5391553,0.3462575,0.587804
35.09455,1,Right,1.222442,2.588149,-0.1900841,-0.4946229,0.5435309,0.3458664,0.5833513
