Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
9.375751,1,Right,1.57171,2.658836,0.1714314,-0.4410807,0.4458306,0.3114815,0.7139063
9.386689,1,Right,1.571807,2.658693,0.1714701,-0.4410047,0.4458062,0.3114336,0.7139894
9.397374,1,Right,1.573035,2.657,0.172037,-0.4403191,0.4455777,0.3084334,0.7158551
9.409167,1,Right,1.574156,2.655339,0.1724941,-0.4396791,0.4453164,0.3064831,0.7172474
9.420442,1,Right,1.575359,2.6532,0.1731515,-0.43894,0.4448695,0.3050575,0.7185838
9.431181,1,Right,1.576503,2.651214,0.1736827,-0.437761,0.4444789,0.3052264,0.7194725
9.442265,1,Right,1.577418,2.649214,0.1737533,-0.4370584,0.4440099,0.3049544,0.7203041
9.453021,1,Right,1.578375,2.646965,0.174435,-0.4365115,0.4435391,0.304597,0.7210765
9.464185,1,Right,1.579865,2.644451,0.1747694,-0.4358289,0.4432876,0.3039247,0.7219273
9.475484,1,Right,1.581069,2.642083,0.1750712,-0.4351106,0.4429537,0.3032189,0.7228617
9.486465,1,Right,1.581544,2.639028,0.1797489,-0.4338256,0.4328293,0.2995126,0.7312635
9.49756,1,Right,1.583757,2.638498,0.178039,-0.4277391,0.443486,0.3002312,0.7281625
9.508505,1,Right,1.584692,2.6365,0.1781896,-0.4247624,0.4433064,0.3005575,0.7298777
9.519613,1,Right,1.58577,2.634443,0.1786634,-0.42332,0.4433503,0.3002833,0.7308014
9.530961,1,Right,1.58656,2.632279,0.1784704,-0.423346,0.4437575,0.2978792,0.7315226
9.542006,1,Right,1.58766,2.629943,0.1787536,-0.422886,0.4443178,0.296068,0.7321836
9.553138,1,Right,1.588544,2.62758,0.1789449,-0.4217599,0.4449258,0.294466,0.7331094
9.564565,1,Right,1.589405,2.62482,0.1795864,-0.4208977,0.4458803,0.2930382,0.733597
9.575406,1,Right,1.590401,2.62196,0.1800944,-0.41919,0.4465641,0.2912708,0.7348616
9.586617,1,Right,1.591161,2.619028,0.1808861,-0.4171479,0.446718,0.2894406,0.7366511
9.597644,1,Right,1.591844,2.615994,0.1812403,-0.4153849,0.4470043,0.287623,0.738184
9.608571,1,Right,1.592343,2.612709,0.1815897,-0.4138677,0.4470244,0.2855702,0.7398192
9.620075,1,Right,1.593248,2.608887,0.1818085,-0.4127326,0.4477484,0.282627,0.7411445
9.631116,1,Right,1.593829,2.605311,0.1821203,-0.4113945,0.4483635,0.2802683,0.7424113
9.64225,1,Right,1.59474,2.600445,0.1826508,-0.4106971,0.4493957,0.2762134,0.7436918
9.653357,1,Right,1.595706,2.596111,0.1837686,-0.4087948,0.4502375,0.2735048,0.7452303
9.664354,1,Right,1.596485,2.591574,0.1847619,-0.405626,0.450559,0.2715101,0.7474934
9.675346,1,Right,1.597167,2.586929,0.1854818,-0.4037694,0.4511148,0.2690768,0.7490417
9.6863,1,Right,1.59808,2.581992,0.1858387,-0.4007049,0.4513722,0.2671397,0.7512224
9.697596,1,Right,1.599092,2.576519,0.1863459,-0.3983974,0.4518853,0.2645007,0.7530727
9.709053,1,Right,1.600084,2.570953,0.1872512,-0.3956186,0.4529433,0.2620806,0.7547464
9.720408,1,Right,1.600961,2.564873,0.188328,-0.3918698,0.4540974,0.2601575,0.7566714
9.731435,1,Right,1.601711,2.558996,0.1894656,-0.3877595,0.4548218,0.258873,0.7587914
9.742611,1,Right,1.602317,2.553257,0.190564,-0.3832713,0.4551382,0.2577614,0.7612564
9.753435,1,Right,1.603034,2.547956,0.1912825,-0.3792918,0.4551728,0.2566332,0.7636065
9.764352,1,Right,1.604101,2.543026,0.191584,-0.3769615,0.455588,0.2552992,0.7649589
9.776015,1,Right,1.604917,2.537323,0.1920336,-0.3741564,0.456326,0.2536124,0.7664557
9.786603,1,Right,1.606457,2.531229,0.1920346,-0.3716799,0.4589159,0.2507901,0.7670428
9.797761,1,Right,1.607552,2.525861,0.1922634,-0.3689456,0.4606872,0.2483388,0.7680979
9.80915,1,Right,1.608726,2.519832,0.1929869,-0.3655028,0.4637511,0.2442661,0.7692052
9.819846,1,Right,1.60941,2.513705,0.1936301,-0.362092,0.465393,0.2412195,0.7707865
9.831457,1,Right,1.60982,2.508331,0.1950342,-0.357568,0.465111,0.2398793,0.7734823
9.842623,1,Right,1.610443,2.502641,0.1956156,-0.3533631,0.4649413,0.2386606,0.7758899
