Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
17.74723,1,Right,1.446032,2.583956,0.418606,-0.4559495,0.2709931,0.4214424,0.7355672
17.75818,1,Right,1.446042,2.583885,0.4186004,-0.4559728,0.2708289,0.4214318,0.7356193
17.76982,1,Right,1.44622,2.582793,0.4184797,-0.4561839,0.269372,0.4213179,0.7360885
17.78079,1,Right,1.446946,2.58037,0.4179686,-0.4564157,0.2666334,0.4195806,0.7379318
17.7919,1,Right,1.447694,2.57891,0.4174699,-0.4571219,0.2653546,0.4157647,0.7401123
17.80278,1,Right,1.448571,2.576059,0.4160206,-0.4574372,0.2641281,0.4125898,0.7421302
17.81367,1,Right,1.449231,2.572259,0.4139006,-0.4579823,0.263717,0.4086891,0.7440959
17.82494,1,Right,1.449901,2.569403,0.4125335,-0.4583084,0.2624723,0.4066504,0.745451
17.83581,1,Right,1.450351,2.564214,0.4093635,-0.4579724,0.2628412,0.4058274,0.7459759
17.84746,1,Right,1.451596,2.558647,0.4063504,-0.4565719,0.2641729,0.4061558,0.7461851
17.85862,1,Right,1.452456,2.553825,0.4037474,-0.4564182,0.2636775,0.4047206,0.7472335
17.86955,1,Right,1.454776,2.547162,0.3984237,-0.4536255,0.2676965,0.4023354,0.7487915
17.88095,1,Right,1.456684,2.541298,0.3939024,-0.4528645,0.2693288,0.3998443,0.7500002
17.89202,1,Right,1.458987,2.534601,0.3897247,-0.4522016,0.2726611,0.3959973,0.7512362
17.90304,1,Right,1.46256,2.52816,0.3853078,-0.452208,0.2779121,0.3903727,0.7522513
17.91384,1,Right,1.465742,2.521079,0.3806621,-0.4515955,0.2819272,0.3862072,0.7532745
17.92518,1,Right,1.470278,2.514384,0.3766254,-0.4503665,0.2913331,0.3798445,0.7536665
17.93632,1,Right,1.474811,2.506761,0.3722956,-0.4471279,0.3025269,0.3736809,0.7542657
17.94748,1,Right,1.478497,2.498763,0.3678084,-0.4444453,0.310094,0.3687316,0.7552133
17.95826,1,Right,1.482555,2.490607,0.364735,-0.4359263,0.3216676,0.3616868,0.7587364
17.96969,1,Right,1.486216,2.482805,0.3612057,-0.430784,0.3293418,0.35578,0.76117
17.98034,1,Right,1.490638,2.475846,0.3589234,-0.4223972,0.3375181,0.347622,0.7660425
17.99132,1,Right,1.493981,2.46792,0.3557273,-0.4179508,0.3443561,0.3419735,0.767978
18.00314,1,Right,1.497149,2.463216,0.3551271,-0.4089297,0.3462587,0.3391934,0.7731942
18.0141,1,Right,1.500583,2.455222,0.3526028,-0.4027368,0.3526401,0.3336014,0.7759885
18.02507,1,Right,1.503644,2.451313,0.3517383,-0.3941414,0.3503552,0.3369429,0.7799829
18.03635,1,Right,1.506695,2.44707,0.3502539,-0.3875817,0.3516,0.3378435,0.7823169
18.04727,1,Right,1.510119,2.443362,0.3482395,-0.3812438,0.3540686,0.3389448,0.7838399
18.05826,1,Right,1.513791,2.441745,0.3464969,-0.3775838,0.356031,0.3410015,0.7838306
18.06943,1,Right,1.517098,2.439156,0.3451428,-0.3723448,0.3591532,0.3409042,0.7849539
18.08067,1,Right,1.520392,2.438636,0.3434961,-0.368168,0.3620421,0.3421619,0.7850497
