Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
10.38958,1,Right,1.420326,2.722061,0.2822447,-0.402954,0.4201852,0.4147998,0.699295
10.40041,1,Right,1.420324,2.722074,0.282212,-0.4029679,0.4201571,0.4148028,0.6993021
10.41147,1,Right,1.420983,2.719685,0.281921,-0.4021138,0.4210079,0.414905,0.6992215
10.42251,1,Right,1.421687,2.718776,0.2823091,-0.3991402,0.4210659,0.4153991,0.7005956
10.43408,1,Right,1.419297,2.717763,0.279745,-0.4020615,0.4156017,0.4121826,0.704079
10.44501,1,Right,1.421238,2.717527,0.2827862,-0.4026081,0.4128281,0.4092404,0.7071081
10.45605,1,Right,1.421161,2.715946,0.2824846,-0.4023778,0.4119934,0.4080259,0.7084267
10.46719,1,Right,1.420835,2.712587,0.2814178,-0.4000718,0.411695,0.4087124,0.7095097
10.47799,1,Right,1.421601,2.71112,0.2826464,-0.3999318,0.4087423,0.4084694,0.7114331
10.4894,1,Right,1.422054,2.708825,0.2831791,-0.3954302,0.4090377,0.4101762,0.7127963
10.50066,1,Right,1.42324,2.705955,0.2840541,-0.3920325,0.4091767,0.411585,0.7137806
10.51176,1,Right,1.423475,2.703628,0.2826859,-0.3882737,0.4107238,0.4107956,0.7153995
10.5225,1,Right,1.42398,2.700863,0.2828367,-0.3874708,0.4108552,0.4092167,0.7166632
10.53398,1,Right,1.425325,2.698043,0.2825762,-0.3860617,0.4115257,0.4076344,0.7179396
10.54493,1,Right,1.4244,2.694495,0.2807597,-0.3879665,0.4089535,0.4037598,0.7205672
10.55598,1,Right,1.427047,2.692211,0.2839968,-0.3886387,0.4088942,0.3999694,0.7223502
10.56737,1,Right,1.427473,2.688332,0.2834429,-0.3847171,0.4113407,0.4000698,0.7230047
10.57813,1,Right,1.428194,2.684814,0.2829108,-0.38361,0.4117225,0.3986473,0.7241604
10.58953,1,Right,1.428618,2.681952,0.2829409,-0.3831406,0.4124057,0.3955086,0.7257394
10.60046,1,Right,1.429015,2.678111,0.2825978,-0.3824886,0.4128813,0.3933096,0.7270069
10.6114,1,Right,1.430406,2.673828,0.2823288,-0.3822217,0.4144537,0.3896852,0.7282034
10.62324,1,Right,1.431369,2.670107,0.2816603,-0.3813991,0.4151819,0.3874148,0.7294303
10.63399,1,Right,1.432474,2.665714,0.2813886,-0.3797536,0.4164414,0.3853192,0.7306798
10.64507,1,Right,1.433594,2.661753,0.2811774,-0.3783102,0.4176395,0.3832662,0.7318236
10.65605,1,Right,1.435369,2.658183,0.2827157,-0.3773089,0.4185312,0.3803392,0.7333564
10.66751,1,Right,1.436239,2.65386,0.2827381,-0.3763144,0.4191823,0.3778067,0.7348032
10.6785,1,Right,1.43665,2.649571,0.2831618,-0.3751242,0.4190543,0.3755757,0.7366263
10.6894,1,Right,1.437824,2.645037,0.2828632,-0.3734795,0.4192615,0.3734578,0.7384186
10.70091,1,Right,1.439307,2.640551,0.2831729,-0.3704061,0.4196994,0.371695,0.7406042
10.7116,1,Right,1.440326,2.635936,0.2833376,-0.3687764,0.4201633,0.3694679,0.7422669
10.72264,1,Right,1.440626,2.632056,0.2836289,-0.3659675,0.4215602,0.3670333,0.7440708
10.73403,1,Right,1.441473,2.627476,0.284234,-0.3638714,0.4221662,0.3647733,0.7458645
10.74505,1,Right,1.441234,2.624152,0.2844345,-0.3640606,0.4224336,0.362311,0.7468203
10.75606,1,Right,1.441675,2.619842,0.2848856,-0.3630261,0.4226048,0.3599894,0.7483481
10.76716,1,Right,1.441831,2.616072,0.2848611,-0.3633263,0.4219457,0.3567554,0.7501209
10.77827,1,Right,1.442057,2.611959,0.2851732,-0.3622885,0.4221323,0.3541883,0.7517326
10.7893,1,Right,1.44297,2.607201,0.2858535,-0.3611622,0.4213779,0.3501679,0.7545761
10.80059,1,Right,1.442999,2.603951,0.2854593,-0.3575164,0.4256376,0.3526966,0.7527415
10.81129,1,Right,1.443154,2.600593,0.2869276,-0.3588614,0.4214278,0.3476093,0.7568256
10.82312,1,Right,1.444055,2.598002,0.2872843,-0.3570494,0.4205354,0.3473692,0.7582878
10.83401,1,Right,1.444435,2.59454,0.288004,-0.3556373,0.4201768,0.3459341,0.7598047
10.84517,1,Right,1.444963,2.59222,0.2873065,-0.3552801,0.4205378,0.3451318,0.7601368
10.85607,1,Right,1.445182,2.589467,0.2871337,-0.3542412,0.4208478,0.3458632,0.7601178
10.8673,1,Right,1.445458,2.586822,0.2866656,-0.3530648,0.4212632,0.3464084,0.7601867
10.87814,1,Right,1.445778,2.584348,0.2862571,-0.3521605,0.4217657,0.346657,0.7602142
10.88928,1,Right,1.446618,2.582026,0.2859019,-0.3511569,0.4229956,0.346472,0.7600794
10.90045,1,Right,1.447319,2.579849,0.2855701,-0.3504249,0.424578,0.3458682,0.75981
10.91152,1,Right,1.447954,2.577468,0.2852345,-0.3491516,0.4254118,0.3453941,0.7601452
10.92239,1,Right,1.449028,2.575482,0.2848995,-0.34781,0.4262172,0.3449477,0.7605118
10.934,1,Right,1.44952,2.573804,0.2838733,-0.3467462,0.4273487,0.3439448,0.7608168
10.9452,1,Right,1.450283,2.571869,0.2829968,-0.3458588,0.4283739,0.3427687,0.7611748
10.95609,1,Right,1.45129,2.570193,0.2816159,-0.3459922,0.4290875,0.3399098,0.7619938
10.96737,1,Right,1.452852,2.568308,0.2803591,-0.3457552,0.4298266,0.3372952,0.7628462
10.9782,1,Right,1.454281,2.566489,0.2785658,-0.344579,0.4313144,0.3361812,0.7630304
10.98989,1,Right,1.455796,2.565356,0.2759789,-0.3435447,0.4345341,0.3359127,0.7617872
11.00055,1,Right,1.457169,2.564019,0.2735874,-0.3429078,0.4368721,0.3351038,0.761093
11.01167,1,Right,1.458992,2.563053,0.2707015,-0.3428083,0.4410895,0.3349372,0.758775
11.02307,1,Right,1.460186,2.56201,0.2677895,-0.3424003,0.4446453,0.3343785,0.7571286
11.03452,1,Right,1.461605,2.560987,0.2648979,-0.3419161,0.4476494,0.3341489,0.7556772
11.04528,1,Right,1.463247,2.560114,0.2611642,-0.3417605,0.4505693,0.3348847,0.7536838
11.05614,1,Right,1.465204,2.559332,0.257614,-0.3414435,0.4535455,0.335629,0.7517087
11.0673,1,Right,1.467158,2.558535,0.2536456,-0.3410786,0.4569652,0.3364417,0.7494366
11.07821,1,Right,1.469316,2.557811,0.2491755,-0.3404436,0.4609931,0.3371397,0.7469407
11.08933,1,Right,1.471804,2.557122,0.2448536,-0.3396194,0.4657561,0.3374318,0.7442242
11.10053,1,Right,1.47401,2.556558,0.2403925,-0.3387631,0.4701151,0.3373651,0.7419004
11.11188,1,Right,1.476096,2.555972,0.2354964,-0.3382522,0.4742265,0.3369832,0.7396871
11.12286,1,Right,1.478433,2.555422,0.2307334,-0.3377084,0.4781123,0.337014,0.7374166
11.13394,1,Right,1.4809,2.554973,0.2258018,-0.3362013,0.4818495,0.3384279,0.7350213
11.14524,1,Right,1.483197,2.55459,0.2204254,-0.3346278,0.4860723,0.3396169,0.7324058
11.15614,1,Right,1.485473,2.554243,0.2147693,-0.3330846,0.4904622,0.3405403,0.7297492
11.16737,1,Right,1.488234,2.554477,0.208261,-0.3315583,0.4961933,0.3411495,0.7262771
11.17823,1,Right,1.490248,2.554738,0.2023433,-0.3318166,0.5015792,0.341362,0.722349
11.18927,1,Right,1.491862,2.555023,0.1964667,-0.3313484,0.5062678,0.3434358,0.7182987
11.20025,1,Right,1.494268,2.55529,0.1909143,-0.3306075,0.5103137,0.3461858,0.7144466
11.21168,1,Right,1.496236,2.555632,0.1848724,-0.3299007,0.5145235,0.3487315,0.7105051
11.22302,1,Right,1.498709,2.556075,0.1787949,-0.3288709,0.519188,0.3508939,0.7065134
11.23388,1,Right,1.501155,2.556693,0.1720414,-0.3281206,0.5244939,0.3519128,0.7024246
11.24515,1,Right,1.503054,2.557036,0.1658618,-0.3274398,0.529043,0.352812,0.6988708
11.2561,1,Right,1.50518,2.557426,0.1593791,-0.3267269,0.5341608,0.3528766,0.6952696
11.26742,1,Right,1.507038,2.55795,0.1530493,-0.3256716,0.5391111,0.3531221,0.6918107
11.27852,1,Right,1.509552,2.558631,0.1456463,-0.3248371,0.5454226,0.3523777,0.6876228
11.28918,1,Right,1.511034,2.559288,0.1395631,-0.324176,0.5505256,0.352117,0.683992
11.30056,1,Right,1.51276,2.560361,0.1337048,-0.32397,0.5560584,0.3511283,0.6801113
11.31168,1,Right,1.51368,2.56169,0.1284533,-0.3247771,0.5607283,0.3508328,0.6760325
11.32258,1,Right,1.514391,2.563025,0.1232503,-0.3254801,0.5645973,0.3516446,0.6720406
11.33386,1,Right,1.515575,2.56435,0.1190554,-0.3263608,0.566835,0.3524865,0.6692832
11.3452,1,Right,1.516838,2.565626,0.1139213,-0.3266927,0.5702318,0.3524415,0.6662526
11.35621,1,Right,1.518651,2.567176,0.1095363,-0.3272751,0.5725758,0.3505946,0.6649296
11.36721,1,Right,1.519784,2.569034,0.1057695,-0.3271876,0.5755563,0.3488543,0.6633128
11.37819,1,Right,1.520713,2.571485,0.1030096,-0.3277427,0.5772336,0.3470655,0.6625192
11.3894,1,Right,1.521386,2.573755,0.1002837,-0.328104,0.5793797,0.3464173,0.6608041
11.40053,1,Right,1.521424,2.577096,0.09826272,-0.3283993,0.579712,0.3481287,0.6594652
11.4115,1,Right,1.521719,2.580522,0.09664971,-0.3285227,0.5796974,0.3504488,0.6581864
11.42264,1,Right,1.521646,2.584331,0.09512819,-0.3284628,0.5795011,0.3533666,0.6568277
11.43415,1,Right,1.522096,2.588381,0.09405277,-0.3284911,0.578788,0.356541,0.655726
11.4449,1,Right,1.521496,2.593223,0.09280393,-0.3288285,0.5772403,0.3602484,0.6548944
11.45618,1,Right,1.521075,2.598154,0.09221534,-0.3299037,0.5758248,0.3627019,0.6542452
11.46741,1,Right,1.519947,2.603326,0.09142024,-0.3308581,0.5749487,0.3650717,0.6532148
11.47831,1,Right,1.518631,2.609546,0.09024478,-0.334229,0.5728927,0.3672277,0.6520957
11.48942,1,Right,1.517299,2.61554,0.0895584,-0.3363311,0.5720659,0.3694018,0.6505108
11.50068,1,Right,1.514847,2.621631,0.08936457,-0.340398,0.5707549,0.3718172,0.6481667
11.51142,1,Right,1.512961,2.628303,0.08905853,-0.3424194,0.5698999,0.3740775,0.6465517
11.52309,1,Right,1.510976,2.633856,0.08922113,-0.3469542,0.566963,0.3771715,0.6449165
11.53419,1,Right,1.508824,2.640487,0.08907176,-0.3503821,0.5638544,0.3809036,0.6435938
11.54542,1,Right,1.50702,2.647034,0.08878127,-0.3535266,0.5616676,0.3839357,0.6419827
11.55623,1,Right,1.505032,2.653658,0.08850003,-0.3565513,0.5596876,0.3865705,0.6404562
11.56767,1,Right,1.502912,2.659495,0.0878093,-0.3599226,0.5584133,0.3881171,0.6387452
11.57833,1,Right,1.500694,2.666291,0.08717907,-0.3630993,0.5571496,0.3900902,0.636846
11.5898,1,Right,1.498438,2.672521,0.08661393,-0.3663988,0.5571568,0.3907687,0.6345298
