Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
21.22293,1,Right,1.427624,2.616419,-0.3842652,-0.3892605,0.6277546,0.4504931,0.5014542
21.23434,1,Right,1.427802,2.616343,-0.3841344,-0.3890081,0.6276847,0.4507405,0.5015153
21.2454,1,Right,1.428301,2.615245,-0.3838137,-0.390556,0.6255806,0.4496459,0.5039182
21.25669,1,Right,1.428592,2.613978,-0.3830564,-0.3936463,0.6234488,0.4482079,0.5054343
21.26765,1,Right,1.428738,2.612639,-0.3819413,-0.3955638,0.6217458,0.4475628,0.5066054
21.27889,1,Right,1.429064,2.610984,-0.3802469,-0.3958643,0.6226044,0.44827,0.5046873
21.29025,1,Right,1.429045,2.609352,-0.3785556,-0.3959988,0.6218916,0.4497336,0.5041581
21.30133,1,Right,1.428511,2.606809,-0.374602,-0.3938765,0.6182011,0.4544794,0.5061001
21.31237,1,Right,1.42841,2.604762,-0.3717996,-0.3930669,0.6144488,0.4568563,0.5091497
21.32393,1,Right,1.428848,2.60337,-0.3678739,-0.3904659,0.6095893,0.4606015,0.5135986
21.33428,1,Right,1.428639,2.601097,-0.3634433,-0.3875243,0.6031935,0.4646395,0.5197045
21.34534,1,Right,1.427775,2.599243,-0.3615886,-0.3908774,0.5963347,0.4641708,0.5254953
21.35642,1,Right,1.427592,2.596787,-0.3581442,-0.390469,0.5918471,0.4659344,0.5292978
21.36753,1,Right,1.426991,2.594481,-0.3548501,-0.3907904,0.5881208,0.4667319,0.5325017
21.37877,1,Right,1.426504,2.592035,-0.3518315,-0.3905314,0.5860143,0.4673273,0.5344883
21.39002,1,Right,1.425855,2.589051,-0.348317,-0.3900995,0.583655,0.4683855,0.5364553
21.40131,1,Right,1.425789,2.586153,-0.3444185,-0.3881723,0.5817436,0.4691411,0.5392618
21.4121,1,Right,1.42533,2.583067,-0.3406257,-0.3862944,0.5792614,0.4698707,0.5426366
21.42369,1,Right,1.424676,2.580029,-0.3369523,-0.385341,0.5763267,0.4709175,0.5455241
21.43445,1,Right,1.423856,2.576033,-0.3313971,-0.383431,0.5709007,0.4698648,0.5534257
21.4453,1,Right,1.422416,2.572827,-0.3270748,-0.3845742,0.566141,0.4698682,0.5575042
21.45642,1,Right,1.421269,2.569257,-0.3227664,-0.3838632,0.5623395,0.4702612,0.561496
21.46794,1,Right,1.42028,2.565259,-0.3175518,-0.3852526,0.5555125,0.4685255,0.5687443
