Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
28.13287,1,Right,1.55343,2.648089,-0.1925547,-0.4215065,0.497435,0.2403731,0.7191046
28.14388,1,Right,1.553451,2.648121,-0.192598,-0.4215289,0.4974479,0.2403734,0.7190825
28.15453,1,Right,1.553023,2.648567,-0.192578,-0.4262897,0.4974231,0.2377669,0.7171571
28.16614,1,Right,1.552853,2.64899,-0.1928185,-0.4283111,0.4969559,0.2370753,0.7165052
28.17711,1,Right,1.553124,2.649682,-0.1918756,-0.4299527,0.4955468,0.2369504,0.7165393
28.18796,1,Right,1.554941,2.650698,-0.1892365,-0.4287738,0.4932702,0.2393997,0.7180009
28.19945,1,Right,1.554788,2.651026,-0.1890013,-0.4295412,0.4935545,0.2412415,0.7167293
28.21036,1,Right,1.554604,2.651468,-0.1884061,-0.4304102,0.4929352,0.2418621,0.7164249
28.22198,1,Right,1.553363,2.652136,-0.1874945,-0.4311646,0.4910365,0.2446299,0.7163354
28.23286,1,Right,1.552403,2.652663,-0.1872263,-0.4326611,0.4901929,0.2450523,0.7158664
28.24383,1,Right,1.551484,2.652627,-0.1849459,-0.4341949,0.4878378,0.2425821,0.7173863
28.25495,1,Right,1.550939,2.652425,-0.182682,-0.4334476,0.4879065,0.2426587,0.7177654
28.26602,1,Right,1.550124,2.652561,-0.1802405,-0.4326245,0.4868917,0.2418797,0.7192125
28.27703,1,Right,1.548405,2.652596,-0.1768796,-0.4318198,0.4843157,0.2407198,0.7218199
28.28803,1,Right,1.547979,2.653002,-0.1742633,-0.4319564,0.4810047,0.2396771,0.7242949
28.29952,1,Right,1.546294,2.653273,-0.171038,-0.4324933,0.4772208,0.238865,0.7267416
28.31003,1,Right,1.544633,2.653591,-0.1680011,-0.433322,0.4734016,0.2382967,0.7289291
28.32169,1,Right,1.542547,2.653938,-0.1650323,-0.4344548,0.4701601,0.2388217,0.7301799
28.33272,1,Right,1.54016,2.654224,-0.1613104,-0.4357082,0.4663297,0.2392773,0.7317386
28.34356,1,Right,1.537439,2.654385,-0.1571329,-0.4369755,0.4613638,0.2393466,0.7341043
28.35465,1,Right,1.534748,2.654398,-0.1529172,-0.4380266,0.4556226,0.2393017,0.7370722
28.36607,1,Right,1.532846,2.654384,-0.1487614,-0.4380971,0.4502293,0.2390693,0.7404124
28.37737,1,Right,1.530693,2.654547,-0.144775,-0.4378966,0.4462175,0.2382225,0.7432271
28.3881,1,Right,1.527903,2.654585,-0.1405081,-0.4377435,0.4426921,0.2366505,0.7459228
28.39938,1,Right,1.525416,2.654827,-0.1370779,-0.4384707,0.4391049,0.2346302,0.7482506
28.4103,1,Right,1.522117,2.655088,-0.1327457,-0.4398874,0.4344026,0.2330227,0.7506622
28.42142,1,Right,1.519558,2.655094,-0.1287175,-0.4409164,0.4299217,0.2331794,0.7525871
28.43282,1,Right,1.516734,2.655067,-0.1246336,-0.4415736,0.4258806,0.2332444,0.754477
28.44369,1,Right,1.514099,2.655027,-0.1205724,-0.4420831,0.4220481,0.2346285,0.7559018
28.45488,1,Right,1.511987,2.654926,-0.1170627,-0.4426632,0.4189509,0.2336827,0.7575763
28.46604,1,Right,1.509709,2.654795,-0.1135775,-0.4433221,0.4164129,0.2321081,0.7590728
28.47676,1,Right,1.507435,2.654508,-0.1098468,-0.4438106,0.4136883,0.2303343,0.7608155
28.48821,1,Right,1.505265,2.654106,-0.1063618,-0.4441039,0.410701,0.229204,0.7626021
28.49968,1,Right,1.502919,2.653607,-0.1025839,-0.4440769,0.4072661,0.2284596,0.7646805
28.51036,1,Right,1.501177,2.653098,-0.09910163,-0.4433157,0.4041772,0.2281724,0.7668437
28.5215,1,Right,1.500256,2.652869,-0.09510576,-0.4419704,0.4010341,0.2279777,0.7693244
28.53316,1,Right,1.49863,2.65241,-0.09278207,-0.4410791,0.3981612,0.2280357,0.7713084
28.54351,1,Right,1.496964,2.651969,-0.0901797,-0.4407035,0.3950914,0.2287964,0.7728748
28.55474,1,Right,1.495762,2.651552,-0.08838963,-0.4407144,0.3931081,0.2301283,0.7734842
28.56597,1,Right,1.495122,2.65033,-0.08645432,-0.4397931,0.3913018,0.2316433,0.7744717
28.57672,1,Right,1.494503,2.649514,-0.08489653,-0.4385872,0.390574,0.2329841,0.7751204
28.58809,1,Right,1.494344,2.648571,-0.08418231,-0.4371582,0.3910813,0.2334615,0.7755281
28.59948,1,Right,1.493925,2.647519,-0.08307584,-0.4361793,0.3902181,0.2338056,0.7764099
28.61068,1,Right,1.493985,2.646214,-0.08247482,-0.4358114,0.3910031,0.2312985,0.7769723
28.62116,1,Right,1.494726,2.645156,-0.08261641,-0.4357233,0.3913692,0.229637,0.7773302
28.63286,1,Right,1.494656,2.643328,-0.08146223,-0.4349712,0.3908338,0.2297262,0.7779941
28.64324,1,Right,1.495161,2.641745,-0.08145501,-0.43502,0.3917115,0.2303769,0.7773328
