Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
258.6239,1,Right,0.3499431,1.486706,-0.06806026,-0.5886859,0.4022527,0.3834125,0.5870576
258.6349,1,Right,0.3505275,1.48673,-0.06694616,-0.5882199,0.4008487,0.3827704,0.5889011
258.6461,1,Right,0.3506686,1.48633,-0.06624475,-0.586198,0.3991706,0.3850644,0.5905591
258.6574,1,Right,0.3510389,1.48601,-0.06548527,-0.5856006,0.3971238,0.3866157,0.5915175
258.6683,1,Right,0.3512819,1.485611,-0.06503524,-0.5857714,0.3952073,0.3872991,0.5921845
258.6794,1,Right,0.3523966,1.484856,-0.06402873,-0.5855611,0.3939636,0.3877402,0.592932
258.6905,1,Right,0.3534986,1.484533,-0.06284355,-0.5844475,0.3933115,0.3871583,0.5948408
258.7023,1,Right,0.3550386,1.48383,-0.06169473,-0.5818995,0.3933656,0.3860763,0.597998
258.7128,1,Right,0.3564102,1.482619,-0.0613313,-0.5783625,0.3955501,0.3850559,0.6006404
258.724,1,Right,0.3578432,1.48128,-0.06112348,-0.5765751,0.3965359,0.3838844,0.6024559
258.735,1,Right,0.3588744,1.480017,-0.06125023,-0.5762365,0.3964167,0.3820326,0.6040334
258.7465,1,Right,0.3602262,1.478394,-0.06105686,-0.5755285,0.3972382,0.3818059,0.604312
258.7576,1,Right,0.3619039,1.476862,-0.0607854,-0.5752937,0.3973781,0.3802472,0.6054253
258.7683,1,Right,0.3651103,1.474925,-0.06105418,-0.5723217,0.4040734,0.3796175,0.6042045
258.7793,1,Right,0.3672718,1.472789,-0.06132615,-0.5693994,0.4092771,0.3782673,0.6043099
258.7904,1,Right,0.3701398,1.46974,-0.06173996,-0.5629084,0.4190229,0.3773549,0.6042824
258.8015,1,Right,0.3724242,1.466889,-0.06248843,-0.5592397,0.4246937,0.375,0.6051952
258.8127,1,Right,0.3740161,1.463812,-0.06198738,-0.559329,0.4229924,0.3704293,0.6091064
258.824,1,Right,0.3762797,1.460718,-0.06222456,-0.556985,0.4259554,0.3684108,0.6104124
258.8353,1,Right,0.3798666,1.458397,-0.06085013,-0.5554629,0.4251439,0.3638757,0.6150675
258.8459,1,Right,0.3822663,1.455161,-0.06147581,-0.553843,0.42762,0.3597735,0.6172213
258.8573,1,Right,0.3860606,1.451181,-0.06024294,-0.5483528,0.4305999,0.3560119,0.6222126
258.8682,1,Right,0.3895543,1.446822,-0.06047579,-0.5441418,0.4349137,0.3498328,0.6263999
258.8795,1,Right,0.3914952,1.441608,-0.05936303,-0.5380066,0.4365163,0.3492095,0.6309161
258.8904,1,Right,0.3943736,1.437162,-0.0588116,-0.5332405,0.439204,0.3467598,0.6344383
258.9015,1,Right,0.3974033,1.432444,-0.05955825,-0.5277459,0.443911,0.3451619,0.6366243
258.9126,1,Right,0.4007867,1.428086,-0.05873845,-0.5207114,0.4471888,0.3444437,0.6405001
258.9239,1,Right,0.4039538,1.423842,-0.05908292,-0.5177678,0.4515975,0.341451,0.6413949
258.935,1,Right,0.4071697,1.418581,-0.05955264,-0.5124771,0.4581589,0.3382228,0.6426997
258.946,1,Right,0.4093388,1.412252,-0.05960079,-0.5105622,0.459742,0.3350225,0.6447662
258.9571,1,Right,0.4120946,1.406559,-0.05979165,-0.5063932,0.4633024,0.332193,0.6469657
258.9683,1,Right,0.4161513,1.401038,-0.06013102,-0.5013863,0.4676924,0.3270054,0.6503407
258.9796,1,Right,0.4193262,1.394824,-0.06027667,-0.4964107,0.4719558,0.3218264,0.6536527
258.9908,1,Right,0.4228104,1.389374,-0.06108785,-0.4936437,0.4774182,0.3137621,0.6556989
259.0016,1,Right,0.4255479,1.383183,-0.06108057,-0.4914745,0.4815407,0.3064566,0.6577657
259.0129,1,Right,0.4285154,1.376761,-0.06116275,-0.4880556,0.4850291,0.3014373,0.6600636
259.0237,1,Right,0.4314009,1.370318,-0.06143069,-0.4830821,0.4887944,0.2968783,0.6630045
259.0349,1,Right,0.4337771,1.363637,-0.06195558,-0.477741,0.4927334,0.2926005,0.6658545
259.0458,1,Right,0.4366677,1.357694,-0.06263988,-0.4725758,0.4968415,0.2883257,0.6683478
259.0573,1,Right,0.439956,1.352574,-0.06293434,-0.469701,0.5009277,0.2841443,0.6691147
259.0682,1,Right,0.4422636,1.346746,-0.06329558,-0.4661752,0.5045077,0.2804413,0.6704516
259.0797,1,Right,0.4447516,1.340596,-0.06309075,-0.4628125,0.5073726,0.2769627,0.6720635
259.0906,1,Right,0.4466474,1.334681,-0.06331076,-0.458907,0.5104216,0.2733971,0.6738903
259.1017,1,Right,0.4479626,1.328944,-0.06421987,-0.4554744,0.5115054,0.2702472,0.6766623
259.1126,1,Right,0.4498397,1.323253,-0.06411318,-0.4519397,0.5133958,0.2667356,0.6789899
259.1237,1,Right,0.4524147,1.318053,-0.06498817,-0.4486544,0.5170605,0.2633133,0.6797234
259.1348,1,Right,0.4540244,1.312146,-0.06542266,-0.4439906,0.5205614,0.2604231,0.6812253
259.1461,1,Right,0.4550219,1.307284,-0.06613638,-0.4418401,0.5224572,0.2575954,0.6822466
259.158,1,Right,0.4565407,1.301818,-0.06671428,-0.4382558,0.5252194,0.2541265,0.6837369
259.1682,1,Right,0.4578077,1.296998,-0.06819419,-0.4385529,0.5269853,0.2475506,0.6845995
259.1794,1,Right,0.4589836,1.291962,-0.06917326,-0.4370582,0.529462,0.2420368,0.6856152
259.1907,1,Right,0.460081,1.28676,-0.07018103,-0.4344881,0.5319886,0.2375513,0.6868607
259.2018,1,Right,0.4627099,1.281495,-0.07112104,-0.4235978,0.5410263,0.2387099,0.6862019
259.2127,1,Right,0.4626932,1.277026,-0.07095588,-0.4286075,0.5407259,0.2327162,0.6853862
259.2238,1,Right,0.4636497,1.272356,-0.07143894,-0.4258151,0.5431679,0.2299732,0.6861213
259.2347,1,Right,0.464572,1.268008,-0.07190509,-0.4231512,0.5435598,0.2280975,0.6880824
259.2462,1,Right,0.4653282,1.263444,-0.07274652,-0.4207629,0.5445526,0.225508,0.6896138
259.2572,1,Right,0.4663834,1.259351,-0.07405896,-0.4182922,0.5458481,0.223822,0.6906412
259.2683,1,Right,0.4671248,1.255584,-0.07518469,-0.4154138,0.5485527,0.2223985,0.6906955
259.2794,1,Right,0.4680305,1.252326,-0.0761797,-0.4125282,0.5515453,0.2212148,0.6904218
259.2903,1,Right,0.469308,1.249283,-0.07713308,-0.4101639,0.554263,0.219447,0.6902182
259.3017,1,Right,0.4700575,1.246562,-0.07802915,-0.4088316,0.5569487,0.2168143,0.6896785
259.3126,1,Right,0.4708689,1.243882,-0.07877761,-0.407235,0.5591851,0.2144139,0.6895639
259.324,1,Right,0.4711625,1.241627,-0.08006337,-0.4073604,0.5609663,0.2111578,0.6890476
259.3351,1,Right,0.4717682,1.239522,-0.08086268,-0.4065751,0.5627804,0.2089545,0.6887038
259.3459,1,Right,0.4725251,1.237856,-0.0813477,-0.4052607,0.5648456,0.2079187,0.6881011
259.3574,1,Right,0.473334,1.235869,-0.08228225,-0.403716,0.5670558,0.2056983,0.6878585
259.3687,1,Right,0.4737401,1.235047,-0.08211354,-0.4033129,0.5674168,0.2048305,0.6880563
259.3793,1,Right,0.474486,1.234019,-0.08237666,-0.4028859,0.5682445,0.2027853,0.6882291
259.3906,1,Right,0.4751334,1.232954,-0.08285626,-0.402036,0.5696788,0.2008102,0.6881195
259.4016,1,Right,0.47532,1.233074,-0.08255931,-0.403066,0.5690775,0.2003502,0.6881485
259.4126,1,Right,0.475486,1.232934,-0.08242489,-0.4025363,0.5694544,0.2000162,0.6882439
259.4242,1,Right,0.4755543,1.233456,-0.08172019,-0.4022794,0.5678838,0.2034258,0.6886923
259.435,1,Right,0.4757676,1.234064,-0.08118533,-0.4029407,0.5666849,0.2048761,0.6888634
259.4462,1,Right,0.4750444,1.235095,-0.0801883,-0.4015433,0.5657537,0.2065138,0.6899549
259.4575,1,Right,0.4752279,1.236304,-0.0795288,-0.4018083,0.563734,0.2079706,0.6910154
259.4682,1,Right,0.4748874,1.237603,-0.07851028,-0.4021097,0.5623771,0.2089483,0.6916505
259.4793,1,Right,0.4742306,1.239076,-0.07697115,-0.4029816,0.559994,0.2108953,0.6924852
259.4904,1,Right,0.4741076,1.240552,-0.0757861,-0.4030751,0.5589267,0.2117808,0.6930225
259.502,1,Right,0.4731634,1.242892,-0.07327238,-0.4031818,0.5548403,0.2161271,0.6948998
