Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
36.02746,1,Right,1.102378,2.114902,0.01590443,-0.4483384,0.3705563,0.4263532,0.6927508
36.03773,1,Right,1.102343,2.114867,0.01598526,-0.4483831,0.3703863,0.4263908,0.6927896
36.04904,1,Right,1.102244,2.114886,0.01702978,-0.4497738,0.3682855,0.4285693,0.691663
36.06032,1,Right,1.102137,2.114419,0.01747473,-0.4495067,0.3671235,0.4308519,0.691036
36.07106,1,Right,1.101499,2.113754,0.01774829,-0.4492692,0.3659426,0.4327404,0.6906366
36.08219,1,Right,1.102093,2.113496,0.01837815,-0.4478884,0.3658039,0.4358028,0.6896807
36.09467,1,Right,1.102178,2.113228,0.01912298,-0.4471003,0.3651325,0.437192,0.6896685
36.1055,1,Right,1.102767,2.112641,0.02011675,-0.4434544,0.365272,0.440239,0.6900102
36.11633,1,Right,1.103326,2.112253,0.02018756,-0.4409313,0.3653875,0.4424876,0.6901278
36.12698,1,Right,1.103849,2.111984,0.02070507,-0.4385754,0.3652361,0.4443957,0.690483
36.13807,1,Right,1.105025,2.112087,0.01961561,-0.434877,0.3673286,0.4452145,0.6911843
36.14905,1,Right,1.10592,2.112049,0.01895589,-0.4325633,0.3680876,0.4465744,0.691355
36.1612,1,Right,1.107415,2.112267,0.01666584,-0.4303105,0.3719563,0.4464992,0.6907386
36.17247,1,Right,1.108734,2.112387,0.01497232,-0.4284225,0.3746086,0.4474004,0.6898953
36.18326,1,Right,1.110788,2.112916,0.01086328,-0.4282959,0.3812297,0.4452901,0.6877087
36.19437,1,Right,1.112273,2.113208,0.008566789,-0.42672,0.383575,0.4457178,0.6871069
36.20529,1,Right,1.114903,2.113348,0.004575767,-0.4256274,0.3901124,0.4437297,0.6853886
36.21583,1,Right,1.117304,2.113596,0.000442497,-0.423148,0.3960551,0.444502,0.6830111
36.22755,1,Right,1.119491,2.114035,-0.004128389,-0.4207976,0.4025594,0.4454274,0.6800512
36.23851,1,Right,1.121829,2.114578,-0.009857796,-0.4191859,0.410578,0.4457104,0.6760556
36.24972,1,Right,1.124102,2.11517,-0.01584025,-0.418993,0.4171622,0.4450613,0.672563
36.26049,1,Right,1.126448,2.116104,-0.02195688,-0.419814,0.4238847,0.4438837,0.6686144
36.27119,1,Right,1.128977,2.116721,-0.02841028,-0.4212629,0.4305385,0.4424134,0.664413
36.28289,1,Right,1.131633,2.117513,-0.03460976,-0.4223652,0.4376419,0.4412397,0.6598369
36.29344,1,Right,1.134733,2.118247,-0.04155736,-0.4224061,0.4472126,0.4399427,0.6542358
36.30508,1,Right,1.137372,2.118898,-0.04832839,-0.4221012,0.4546181,0.4389242,0.6499988
36.31648,1,Right,1.139886,2.119599,-0.05569579,-0.4218419,0.4637001,0.4372554,0.6448562
36.32764,1,Right,1.142163,2.120078,-0.063008,-0.4216626,0.4711645,0.4358736,0.6404833
36.33864,1,Right,1.144153,2.121147,-0.06933626,-0.4223228,0.478154,0.4337235,0.6363145
36.34943,1,Right,1.146212,2.121635,-0.07668277,-0.4222997,0.4852445,0.4322185,0.6319715
36.36045,1,Right,1.147635,2.122488,-0.08203366,-0.4235109,0.4899829,0.4307862,0.6284732
36.37085,1,Right,1.149277,2.123017,-0.0888853,-0.4238106,0.4961806,0.4295933,0.6242107
