Time,Gesture,Hand,Pos_X,Pos_Y,Pos_Z,Rot_X,Rot_Y,Rot_Z,Rot_W
15.41934,1,Right,1.364404,2.608692,-0.4195379,-0.4344023,0.4358256,0.5147598,0.5969698
15.43043,1,Right,1.363888,2.610222,-0.4195865,-0.4351204,0.4347501,0.5160165,0.5961456
15.44164,1,Right,1.36484,2.617118,-0.4182859,-0.4373063,0.4267653,0.5203487,0.5965499
15.45304,1,Right,1.368986,2.621801,-0.4176375,-0.4362552,0.4209559,0.5200709,0.6016675
15.4637,1,Right,1.372773,2.627489,-0.4175845,-0.4366689,0.4150956,0.5226617,0.603192
15.47461,1,Right,1.381247,2.63083,-0.4156297,-0.4237401,0.4189081,0.5160408,0.6153553
15.48573,1,Right,1.387888,2.633799,-0.415059,-0.4149661,0.42057,0.5142577,0.6216615
15.4967,1,Right,1.392372,2.634364,-0.4146948,-0.4024132,0.4236747,0.5175301,0.6250808
15.50746,1,Right,1.39993,2.635095,-0.4159994,-0.3914133,0.4288133,0.5171075,0.6288995
15.51864,1,Right,1.404808,2.634513,-0.412663,-0.3743874,0.4309791,0.524719,0.6314753
15.53086,1,Right,1.410527,2.632792,-0.4114922,-0.3596002,0.4333543,0.5296978,0.6342807
15.54122,1,Right,1.417901,2.63035,-0.4111286,-0.3390289,0.4363745,0.5365651,0.6377575
15.55234,1,Right,1.424556,2.626417,-0.4107729,-0.3238958,0.437786,0.5377073,0.6436659
15.56363,1,Right,1.432066,2.622013,-0.4107881,-0.3077492,0.4414948,0.5365865,0.6499597
15.57492,1,Right,1.439408,2.615247,-0.4108307,-0.2906762,0.448283,0.528468,0.6597509
15.58628,1,Right,1.44652,2.607794,-0.4108982,-0.2746868,0.4530496,0.5213536,0.6689422
15.5973,1,Right,1.453347,2.599123,-0.4102968,-0.2583366,0.456786,0.5116166,0.6803361
15.60845,1,Right,1.461329,2.590197,-0.409535,-0.2427984,0.4604667,0.5016983,0.6908822
15.61958,1,Right,1.468484,2.580114,-0.4087654,-0.2257604,0.4639569,0.4928349,0.7006354
15.63058,1,Right,1.474605,2.569141,-0.4087763,-0.208819,0.4665619,0.4867094,0.7083986
15.64193,1,Right,1.481119,2.557098,-0.4080407,-0.1869303,0.4659994,0.4841111,0.7166157
15.65228,1,Right,1.487254,2.545386,-0.408355,-0.1649524,0.4655985,0.4810048,0.7243225
15.66362,1,Right,1.492525,2.534614,-0.4093187,-0.1444595,0.4663998,0.4769798,0.7308167
15.67515,1,Right,1.498112,2.523047,-0.4102622,-0.1230629,0.4689147,0.4706172,0.7372204
15.68571,1,Right,1.503298,2.510147,-0.4112707,-0.1028627,0.4714237,0.4623899,0.7438915
15.69695,1,Right,1.506642,2.499225,-0.411065,-0.08597638,0.4714777,0.4556316,0.7501444
15.70809,1,Right,1.51076,2.486716,-0.4108748,-0.06543843,0.4700866,0.4483588,0.757437
15.71935,1,Right,1.513834,2.475406,-0.4111665,-0.04426795,0.46684,0.4414771,0.7649829
15.7309,1,Right,1.515889,2.466601,-0.410883,-0.02570921,0.4623632,0.4347752,0.7723535
15.74138,1,Right,1.517907,2.456666,-0.4110439,-0.00865538,0.4579391,0.4274581,0.7794206
15.75235,1,Right,1.519951,2.449519,-0.4101256,0.002124865,0.4537034,0.4224499,0.7846558
15.76371,1,Right,1.521656,2.446255,-0.4089076,0.01132116,0.4499936,0.422424,0.7867246
15.77415,1,Right,1.522042,2.441316,-0.4086652,0.02149235,0.4462605,0.4231422,0.7882515
15.78588,1,Right,1.522622,2.438742,-0.4076757,0.02832866,0.4429916,0.4257139,0.7884945
15.79679,1,Right,1.521741,2.43755,-0.4068651,0.03561892,0.4379021,0.4319619,0.7876433
15.80794,1,Right,1.521197,2.438463,-0.4060029,0.04052716,0.4343877,0.4398352,0.7849903
15.8188,1,Right,1.519163,2.442349,-0.4053287,0.04248893,0.4298967,0.4456482,0.7840798
15.82991,1,Right,1.517727,2.446043,-0.404236,0.04633369,0.426483,0.4495484,0.7834997
15.84079,1,Right,1.515332,2.453667,-0.4034544,0.04090084,0.42451,0.4574747,0.780279
15.85249,1,Right,1.513065,2.461329,-0.4025491,0.03559046,0.4228852,0.4655114,0.7766598
15.86328,1,Right,1.510145,2.47005,-0.4023277,0.02756783,0.4217233,0.4786915,0.7695738
15.87417,1,Right,1.506962,2.479776,-0.4021114,0.02183856,0.4206306,0.4907881,0.7627057
15.88572,1,Right,1.502291,2.492427,-0.4012704,0.01523876,0.420163,0.5040472,0.7544317
15.8967,1,Right,1.500596,2.50283,-0.4017586,0.008788003,0.421376,0.5161324,0.7456356
15.90781,1,Right,1.494576,2.514977,-0.4032027,0.00290767,0.4242103,0.5282452,0.735523
