Username,Referent,P1-T1,P1-T2,P1-T3,P2-T1,P2-T2,P2-T3,P3-T1,P3-T2,P3-T3,P4-T1,P4-T2,P4-T3,P5-T1,P5-T2,P5-T3,P6-T1,P6-T2,P6-T3,P7-T1,P7-T2,P7-T3,P8-T1,P8-T2,P8-T3,P9-T1,P9-T2,P9-T3,P10-T1,P10-T2,P10-T3,P11-T1,P11-T2,P11-T3,P12-T1,P12-T2,P12-T3,P13-T1,P13-T2,P13-T3,P14-T1,P14-T2,P14-T3,P15-T1,P15-T2,P15-T3,P16-T1,P16-T2,P16-T3,P17-T1,P17-T2,P17-T3,P18-T1,P18-T2,P18-T3,P19-T1,P19-T2,P19-T3,P20-T1,P20-T2,P20-T3,P21-T1,P21-T2,P21-T3,P22-T1,P22-T2,P22-T3,P23-T1,P23-T2,P23-T3,P24-T1,P24-T2,P24-T3,P25-T1,P25-T2,P25-T3,P26-T1,P26-T2,P26-T3,P27-T1,P27-T2,P27-T3,P28-T1,P28-T2,P28-T3,P29-T1,P29-T2,P29-T3,P30-T1,P30-T2,P30-T3
,angry like a bear-1,4,,,1,,,0,,,2,,,0,,,4,,,0,,,2,,,2,,,2,,,0,,,4,,,,,,3,,,0,,,,,,,,,0,,,,,,1,,,0,,,2,,,0,,,,,,3,,,,,,,,,1,,,2,,,2,,
,angry like a bear-1,4,,,1,,,0,,,2,,,0,,,4,,,0,,,2,,,2,,,2,,,0,,,4,,,,,,3,,,0,,,,,,,,,0,,,,,,1,,,0,,,2,,,0,,,,,,3,,,,,,,,,1,,,2,,,2,,
